Voltage (V),Current (mA)
0.014,-0.003
0.108,0.0
0.205,0.0
0.303,-0.001
0.391,0.001
0.494,-0.009
0.589,0.006
0.672,0.007
0.788,0.0
0.899,-0.008
1.012,0.0
1.101,0.002
1.203,-0.004
1.297,0.003
1.391,0.015
1.488,0.094
1.554,0.244
1.583,0.611
1.618,1.106
1.631,1.552
1.662,2.093
1.681,2.639
1.696,3.156
1.711,3.622
1.714,4.197
1.735,4.733
1.743,5.259
1.76,5.798
1.769,6.346
1.782,6.865
1.794,7.522
1.804,8.058
1.816,8.562
1.828,9.109
1.838,9.661
1.848,10.192
1.857,10.748
1.867,11.282
1.877,11.836
1.887,12.371
1.898,12.999
1.907,13.549
1.917,14.083
1.926,14.658
1.935,15.17
1.945,15.746
1.955,16.296
1.964,16.844
1.974,17.408
1.984,17.957
1.994,18.62
