Voltage (V),Current (mA)
0.108,0.0
0.205,0.0
0.303,0.0
0.385,-0.001
0.489,0.002
0.586,-0.005
0.681,0.006
0.792,0.0
0.9,0.001
1.012,0.0
1.09,0.0
1.208,0.0
1.295,-0.0
1.395,0.008
1.491,0.071
1.554,0.233
1.585,0.635
1.607,1.03
1.64,1.489
1.657,2.093
1.681,2.571
1.695,3.165
1.711,3.658
1.724,4.154
1.736,4.684
1.742,5.182
1.755,5.798
1.767,6.325
1.779,6.814
1.794,7.495
1.808,8.042
1.818,8.56
1.828,9.101
1.839,9.657
1.848,10.189
1.859,10.742
1.869,11.273
1.878,11.82
1.888,12.357
1.901,12.986
1.909,13.531
1.918,14.076
1.926,14.656
1.937,15.17
1.945,15.732
1.956,16.29
1.965,16.835
1.975,17.401
1.984,17.945
1.994,18.615
