Voltage (V),Current (mA)
0.0,0.084
0.037,0.4
0.069,0.869
0.107,1.119
0.147,1.545
0.186,1.877
0.225,2.194
0.263,2.557
0.294,2.991
0.34,3.399
0.375,3.986
0.42,4.203
0.451,4.605
0.479,4.973
0.535,5.323
0.577,5.67
0.611,6.122
0.641,6.535
0.662,6.898
0.714,7.295
0.754,7.721
0.797,8.035
0.818,8.426
0.87,8.785
0.909,9.186
0.948,9.533
0.983,9.896
1.009,10.301
1.057,10.693
1.087,11.079
1.137,11.505
1.173,11.869
1.216,12.254
1.252,12.655
1.29,13.011
1.328,13.385
1.366,13.757
1.403,14.119
1.441,14.475
1.477,14.86
1.52,15.31
1.559,15.682
1.6,16.034
1.633,16.418
1.671,16.815
1.708,17.187
1.745,17.549
1.784,17.932
1.823,18.289
1.861,18.679
1.906,19.137
