Voltage (V),Current (mA)
0.108,-0.0
0.205,0.0
0.303,0.0
0.393,0.001
0.495,0.007
0.589,0.004
0.669,-0.011
0.777,0.0
0.904,-0.004
1.013,0.001
1.09,-0.003
1.212,0.0
1.305,0.0
1.378,0.004
1.496,0.005
1.593,0.0
1.657,0.233
1.684,0.609
1.73,1.001
1.76,1.564
1.774,2.029
1.79,2.558
1.807,3.037
1.819,3.613
1.823,4.065
1.841,4.613
1.857,5.179
1.864,5.731
1.878,6.287
1.892,6.914
1.899,7.431
1.911,7.972
1.921,8.539
1.931,9.082
1.941,9.63
1.95,10.169
1.96,10.706
1.97,11.258
1.978,11.822
1.989,12.459
1.996,12.993
2.004,13.545
2.014,14.089
2.02,14.682
2.031,15.215
2.039,15.769
2.048,16.331
2.055,16.893
2.064,17.453
2.075,18.116
