Voltage (V),Current (mA)
0.015,0.0
0.108,0.0
0.203,0.0
0.303,0.0
0.4,0.0
0.495,-0.007
0.586,0.001
0.682,-0.005
0.791,0.0
0.899,0.004
1.012,-0.004
1.109,0.0
1.212,-0.002
1.303,-0.001
1.405,-0.002
1.496,-0.001
1.594,0.0
1.68,0.0
1.789,0.0
1.887,-0.0
2.004,-0.002
2.092,0.004
2.199,-0.001
2.3,-0.01
2.388,0.003
2.496,0.002
2.591,0.014
2.679,0.087
2.758,0.169
2.844,0.249
2.936,0.431
3.007,0.579
3.083,0.719
3.157,0.88
3.229,1.033
3.299,1.218
3.368,1.413
3.433,1.595
3.498,1.798
3.559,2.027
3.631,2.297
3.687,2.58
3.743,2.835
3.793,3.122
3.843,3.413
3.891,3.715
3.937,4.024
3.979,4.39
4.022,4.728
4.061,5.088
4.102,5.559
