Voltage (V),Current (mA)
0.014,-0.002
0.108,0.0
0.205,0.0
0.303,-0.0
0.401,0.0
0.487,-0.0
0.587,-0.0
0.678,-0.001
0.786,0.0
0.899,-0.003
1.01,-0.0
1.105,0.001
1.195,0.001
1.298,-0.002
1.398,0.0
1.496,0.0
1.585,-0.002
1.687,-0.002
1.789,0.0
1.887,-0.002
2.003,0.0
2.102,0.0
2.191,0.0
2.284,0.017
2.365,0.192
2.401,0.573
2.421,1.07
2.444,1.555
2.459,2.036
2.473,2.543
2.487,3.173
2.498,3.726
2.509,4.278
2.519,4.829
2.528,5.374
2.537,5.914
2.546,6.46
2.554,7.025
2.561,7.574
2.57,8.113
2.578,8.785
2.586,9.335
2.593,9.938
2.6,10.461
2.606,11.05
2.614,11.596
2.621,12.176
2.627,12.734
2.635,13.3
2.642,13.88
2.65,14.555
