Voltage (V),Current (mA)
0.014,-0.001
0.106,0.0
0.203,-0.003
0.303,0.0
0.395,0.001
0.488,-0.007
0.583,0.0
0.676,0.0
0.788,0.0
0.898,0.0
1.004,0.002
1.096,-0.0
1.206,0.004
1.297,-0.002
1.393,0.0
1.492,0.0
1.593,0.0
1.675,0.092
1.735,0.271
1.789,0.589
1.821,1.15
1.844,1.581
1.867,2.081
1.887,2.562
1.902,3.05
1.918,3.589
1.934,4.078
1.95,4.589
1.963,5.117
1.976,5.64
1.993,6.257
2.007,6.759
2.019,7.317
2.033,7.82
2.046,8.352
2.058,8.877
2.069,9.424
2.082,9.927
2.093,10.455
2.106,10.955
2.118,11.635
2.13,12.128
2.141,12.707
2.151,13.237
2.162,13.771
2.175,14.318
2.185,14.855
2.195,15.395
2.207,15.966
2.219,16.485
2.232,17.123
