Voltage (V),Current (mA)
0.014,-0.002
0.108,0.0
0.205,-0.002
0.303,0.0
0.401,0.0
0.493,0.001
0.587,0.0
0.679,-0.001
0.785,0.0
0.894,0.001
1.008,0.001
1.105,-0.0
1.193,0.006
1.291,0.0
1.397,0.0
1.484,0.095
1.548,0.243
1.59,0.578
1.618,1.123
1.635,1.527
1.658,2.14
1.681,2.617
1.696,3.11
1.711,3.664
1.721,4.198
1.732,4.709
1.749,5.219
1.76,5.754
1.771,6.294
1.784,6.844
1.795,7.49
1.805,8.054
1.818,8.548
1.828,9.091
1.838,9.629
1.848,10.166
1.857,10.723
1.867,11.254
1.877,11.814
1.887,12.333
1.898,12.992
1.907,13.539
1.916,14.075
1.926,14.629
1.935,15.152
1.945,15.709
1.955,16.277
1.963,16.829
1.974,17.379
1.984,17.933
1.994,18.61
