Voltage (V),Current (mA)
0.0,0.093
0.039,0.391
0.068,0.863
0.11,1.125
0.145,1.564
0.186,1.948
0.224,2.199
0.264,2.548
0.299,2.98
0.34,3.428
0.376,4.002
0.419,4.201
0.469,4.599
0.491,4.975
0.538,5.317
0.574,5.67
0.611,6.093
0.637,6.516
0.679,6.893
0.714,7.29
0.759,7.748
0.796,8.054
0.833,8.454
0.87,8.801
0.904,9.186
0.941,9.531
0.982,9.916
1.02,10.315
1.057,10.683
1.095,11.075
1.139,11.522
1.174,11.892
1.217,12.254
1.25,12.658
1.29,13.013
1.329,13.383
1.364,13.772
1.403,14.125
1.442,14.469
1.478,14.849
1.522,15.327
1.56,15.688
1.599,16.031
1.633,16.409
1.672,16.813
1.71,17.166
1.747,17.556
1.785,17.942
1.823,18.311
1.862,18.686
1.906,19.154
