Voltage (V),Current (mA)
0.015,0.002
0.107,0.0
0.205,0.0
0.303,0.0
0.397,0.001
0.491,-0.002
0.586,0.0
0.679,-0.001
0.792,0.0
0.899,0.0
1.0,0.002
1.105,0.001
1.194,0.0
1.298,0.0
1.39,0.0
1.488,-0.001
1.593,0.0
1.679,0.0
1.787,0.0
1.875,0.0
2.004,-0.002
2.102,-0.001
2.19,-0.001
2.297,0.0
2.384,0.044
2.453,0.243
2.494,0.618
2.517,1.079
2.535,1.591
2.549,2.088
2.564,2.72
2.575,3.266
2.586,3.789
2.595,4.349
2.605,4.895
2.614,5.445
2.621,6.003
2.63,6.546
2.638,7.11
2.645,7.672
2.654,8.333
2.66,8.891
2.669,9.435
2.675,10.012
2.683,10.582
2.69,11.136
2.698,11.71
2.703,12.267
2.711,12.836
2.718,13.404
2.727,14.078
