Voltage (V),Current (mA)
0.014,0.0
0.107,0.0
0.202,0.0
0.302,0.0
0.396,-0.001
0.492,0.003
0.585,-0.001
0.68,0.0
0.792,0.0
0.899,0.0
1.011,-0.002
1.105,0.001
1.206,-0.0
1.298,-0.002
1.397,0.0
1.496,0.0
1.584,0.098
1.652,0.27
1.684,0.609
1.72,1.074
1.741,1.653
1.754,2.147
1.77,2.679
1.789,3.145
1.799,3.681
1.812,4.246
1.826,4.753
1.834,5.28
1.848,5.819
1.857,6.395
1.87,7.003
1.88,7.576
1.89,8.118
1.898,8.666
1.908,9.21
1.917,9.759
1.926,10.304
1.935,10.858
1.941,11.396
1.95,11.932
1.96,12.605
1.968,13.165
1.975,13.72
1.983,14.277
1.99,14.844
2.0,15.392
2.009,15.936
2.016,16.506
2.024,17.065
2.033,17.629
2.043,18.295
