Voltage (V),Current (mA)
0.108,0
0.205,-0.001
0.303,-0.001
0.393,-0.005
0.489,-0.007
0.584,0.002
0.68,0
0.792,-0.003
0.899,0
0.988,0
1.106,0
1.208,0.002
1.285,-0.001
1.39,0
1.495,-0.001
1.592,-0.004
1.691,0
1.769,0
1.873,0
1.996,-0.003
2.102,0
2.181,-0.003
2.296,-0.002
2.387,0.06
2.44,0.299
2.473,0.712
2.498,1.185
2.513,1.699
2.53,2.21
2.544,2.802
2.557,3.361
2.568,3.912
2.579,4.44
2.59,4.991
2.6,5.535
2.609,6.092
2.617,6.626
2.625,7.173
2.634,7.72
2.644,8.376
2.652,8.966
2.659,9.514
2.666,10.069
2.673,10.616
2.682,11.204
2.688,11.743
2.695,12.312
2.703,12.874
2.711,13.462
2.719,14.118
