Voltage (V),Current (mA)
0.107,0.0
0.2,0.0
0.302,0.0
0.386,0.001
0.496,0.004
0.578,-0.001
0.682,-0.003
0.792,-0.002
0.9,-0.004
0.991,0.001
1.109,-0.0
1.205,0.0
1.303,0.004
1.389,0.009
1.496,-0.002
1.581,-0.004
1.691,-0.0
1.789,0.0
1.887,0.0
1.99,0.0
2.104,-0.003
2.201,-0.002
2.297,0.005
2.352,0.206
2.385,0.625
2.418,1.112
2.434,1.565
2.451,2.09
2.462,2.589
2.478,3.239
2.494,3.774
2.504,4.307
2.515,4.865
2.525,5.4
2.535,5.945
2.542,6.491
2.551,7.039
2.561,7.593
2.569,8.138
2.576,8.801
2.585,9.369
2.591,9.952
2.6,10.487
2.606,11.065
2.615,11.613
2.621,12.188
2.629,12.743
2.636,13.303
2.644,13.883
2.652,14.553
