Voltage (V),Current (mA)
0.014,0.003
0.107,0.0
0.205,-0.001
0.302,0.0
0.398,0.016
0.49,0.0
0.587,0.006
0.681,-0.002
0.783,0.0
0.899,-0.005
1.012,0.0
1.108,-0.002
1.212,0.002
1.301,-0.0
1.399,0.002
1.496,-0.001
1.593,0.0
1.678,0.017
1.766,0.152
1.814,0.46
1.856,0.956
1.881,1.432
1.903,1.878
1.921,2.38
1.936,2.85
1.951,3.395
1.964,3.905
1.974,4.391
1.991,4.964
2.005,5.466
2.018,6.108
2.031,6.635
2.043,7.161
2.054,7.703
2.067,8.238
2.077,8.756
2.087,9.3
2.097,9.827
2.107,10.365
2.116,10.903
2.128,11.571
2.138,12.117
2.147,12.661
2.155,13.212
2.165,13.742
2.175,14.313
2.185,14.851
2.194,15.409
2.204,15.964
2.214,16.524
2.224,17.175
