Voltage (V),Current (mA)
0.104,0.0
0.205,0.0
0.303,0.0
0.401,0.001
0.496,-0.003
0.58,0.006
0.681,-0.005
0.792,-0.002
0.899,-0.003
1.012,-0.0
1.107,-0.001
1.206,0.001
1.302,0.004
1.372,0.0
1.486,0.075
1.553,0.244
1.584,0.607
1.615,1.163
1.631,1.518
1.658,2.19
1.678,2.659
1.683,3.129
1.693,3.676
1.714,4.209
1.721,4.705
1.744,5.292
1.755,5.795
1.765,6.363
1.774,6.89
1.792,7.546
1.803,8.062
1.812,8.603
1.823,9.132
1.833,9.68
1.843,10.214
1.853,10.761
1.864,11.3
1.873,11.854
1.882,12.378
1.895,13.03
1.902,13.58
1.911,14.123
1.921,14.677
1.931,15.202
1.94,15.755
1.95,16.318
1.96,16.863
1.97,17.421
1.979,17.974
1.99,18.641
