Voltage (V),Current (mA)
0.0,0.093
0.039,0.398
0.069,0.874
0.116,1.095
0.149,1.533
0.184,1.946
0.225,2.197
0.258,2.55
0.292,3.02
0.332,3.411
0.37,3.942
0.427,4.199
0.456,4.566
0.491,4.985
0.538,5.345
0.566,5.665
0.589,6.061
0.636,6.523
0.674,6.914
0.718,7.262
0.763,7.625
0.798,8.094
0.831,8.456
0.857,8.863
0.909,9.201
0.948,9.573
0.986,9.909
1.022,10.342
1.061,10.688
1.095,11.098
1.132,11.578
1.178,11.918
1.211,12.282
1.254,12.682
1.291,13.047
1.329,13.403
1.367,13.774
1.406,14.148
1.442,14.51
1.48,14.874
1.524,15.334
1.561,15.686
1.598,16.049
1.636,16.441
1.672,16.811
1.71,17.196
1.749,17.587
1.785,17.956
1.823,18.327
1.862,18.699
1.907,19.163
