Voltage (V),Current (mA)
0.015,0.0
0.108,0.0
0.202,0.0
0.303,-0.0
0.398,0.002
0.492,-0.008
0.583,0.0
0.68,-0.0
0.784,0.0
0.899,0.0
1.007,0.0
1.102,-0.0
1.203,0.006
1.292,-0.001
1.394,-0.001
1.484,0.003
1.584,-0.0
1.691,0.0
1.782,0.0
1.875,-0.002
2.001,-0.001
2.102,0.0
2.189,0.002
2.297,0.0
2.392,0.03
2.456,0.201
2.493,0.598
2.522,1.057
2.538,1.542
2.552,2.088
2.568,2.71
2.579,3.218
2.589,3.766
2.599,4.307
2.61,4.863
2.619,5.408
2.626,5.962
2.635,6.505
2.642,7.085
2.65,7.624
2.659,8.309
2.666,8.872
2.674,9.419
2.679,9.983
2.688,10.56
2.694,11.119
2.702,11.695
2.709,12.245
2.717,12.82
2.723,13.383
2.732,14.038
