Voltage (V),Current (mA)
0.014,0.001
0.108,0.0
0.205,0.0
0.303,-0.0
0.401,0.003
0.492,-0.004
0.587,0.0
0.676,0.0
0.792,-0.001
0.897,0.0
1.004,-0.001
1.106,-0.003
1.204,0.007
1.296,0.0
1.389,0.0
1.496,0.0
1.593,0.0
1.686,-0.002
1.789,-0.002
1.879,0.0
2.004,-0.002
2.102,-0.002
2.199,0.0
2.297,0.0
2.391,0.03
2.463,0.207
2.497,0.608
2.52,1.061
2.538,1.558
2.552,2.065
2.567,2.717
2.578,3.258
2.589,3.764
2.598,4.319
2.608,4.878
2.616,5.418
2.625,5.961
2.633,6.514
2.64,7.089
2.649,7.628
2.658,8.329
2.665,8.86
2.671,9.439
2.679,9.98
2.686,10.585
2.693,11.114
2.699,11.704
2.708,12.247
2.714,12.836
2.722,13.39
2.73,14.052
