Voltage (V),Current (mA)
0.108,-0.0
0.202,0.0
0.303,0.0
0.4,-0.003
0.495,-0.011
0.588,0.003
0.674,0.002
0.792,0.0
0.901,0.0
1.013,-0.001
1.11,0.0
1.212,-0.0
1.291,0.004
1.387,0.004
1.496,-0.003
1.593,0.002
1.655,0.254
1.697,0.631
1.73,0.944
1.748,1.596
1.773,2.112
1.789,2.576
1.795,3.063
1.818,3.583
1.826,4.12
1.838,4.679
1.847,5.188
1.867,5.73
1.877,6.26
1.887,6.926
1.897,7.468
1.907,7.957
1.921,8.544
1.931,9.085
1.94,9.648
1.95,10.187
1.956,10.743
1.966,11.275
1.975,11.826
1.985,12.473
1.994,13.017
2.001,13.581
2.012,14.115
2.019,14.68
2.028,15.217
2.036,15.791
2.044,16.34
2.053,16.91
2.063,17.461
2.072,18.131
