Voltage (V),Current (mA)
0.015,0.0
0.106,0.0
0.205,0.0
0.301,0.0
0.394,-0.004
0.493,-0.006
0.587,-0.004
0.68,-0.006
0.786,-0.001
0.899,0.0
1.001,0.0
1.104,-0.002
1.212,0.0
1.302,-0.002
1.395,-0.001
1.496,0.0
1.59,0.0
1.69,0.0
1.789,-0.0
1.884,0.0
1.994,0.0
2.103,-0.002
2.2,0.0
2.299,-0.006
2.396,0.001
2.494,0.003
2.583,0.011
2.689,0.005
2.785,0.002
2.884,0.003
2.997,0.004
3.095,0.012
3.186,0.036
3.29,0.051
3.385,0.065
3.482,0.088
3.578,0.097
3.674,0.114
3.769,0.145
3.863,0.17
3.978,0.17
4.068,0.228
4.157,0.262
4.245,0.322
4.332,0.393
4.414,0.492
4.493,0.598
4.57,0.738
4.643,0.883
4.713,1.059
4.791,1.288
