Voltage (V),Current (mA)
0.015,0.0
0.106,0.0
0.204,0.001
0.303,0.0
0.394,0.002
0.494,-0.004
0.587,0.0
0.68,0.002
0.792,0.0
0.897,0.001
1.012,0.0
1.109,0.0
1.212,0.0
1.302,0.002
1.395,0.001
1.487,0.001
1.594,-0.0
1.691,0.0
1.781,-0.002
1.877,0.098
1.951,0.326
2.005,0.635
2.058,0.923
2.107,1.219
2.149,1.521
2.199,1.84
2.233,2.199
2.278,2.581
2.314,2.972
2.346,3.361
2.383,3.825
2.414,4.25
2.437,4.699
2.462,5.196
2.483,5.648
2.503,6.131
2.518,6.64
2.534,7.134
2.547,7.672
2.559,8.205
2.572,8.84
2.581,9.404
2.587,9.967
2.595,10.526
2.601,11.087
2.607,11.668
2.613,12.246
2.619,12.832
2.624,13.391
2.629,13.977
2.635,14.66
