Voltage (V),Current (mA)
0.011,0.002
0.107,0.0
0.201,0.0
0.3,0.0
0.4,0.002
0.492,-0.003
0.587,-0.004
0.683,-0.009
0.792,-0.001
0.906,-0.004
1.013,0.0
1.108,0.0
1.204,-0.003
1.298,0.0
1.404,-0.0
1.499,0.004
1.594,0.023
1.678,0.098
1.739,0.348
1.772,0.744
1.801,1.308
1.818,1.833
1.833,2.301
1.852,2.826
1.864,3.336
1.877,3.867
1.886,4.404
1.901,4.938
1.909,5.474
1.921,5.99
1.934,6.661
1.942,7.21
1.953,7.755
1.959,8.304
1.97,8.842
1.98,9.385
1.989,9.922
1.997,10.484
2.005,11.042
2.014,11.578
2.023,12.22
2.03,12.812
2.038,13.343
2.048,13.887
2.055,14.458
2.063,15.027
2.071,15.573
2.078,16.141
2.087,16.695
2.096,17.26
2.106,17.928
