Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.014,0.002,-0.0,-0.004,-0.002,-0.002,-0.0012000000000000001
0.108,0.0,0.0,0.0,-0.0,0.0,0.0
0.205,0.0,0.0,-0.001,0.0,0.0,-0.0002
0.303,0.0,0.0,0.0,0.0,0.0,0.0
0.393,0.0,-0.0,-0.001,0.0,-0.0,-0.0002
0.496,-0.005,-0.006,-0.02,0.002,-0.003,-0.0064
0.587,-0.003,-0.001,-0.0,-0.002,-0.002,-0.0016
0.678,-0.008,-0.005,-0.005,-0.004,-0.0,-0.0044
0.792,0.0,0.0,0.0,0.0,0.0,0.0
0.899,-0.0,-0.0,0.0,0.0,0.0,0.0
1.012,-0.002,-0.002,0.0,-0.0,0.0,-0.0008
1.108,-0.001,-0.001,0.0,-0.0,0.0,-0.0004
1.212,0.0,0.0,-0.002,0.0,-0.0,-0.0004
1.301,0.001,0.002,0.0,0.002,0.0,0.001
1.4,0.001,0.0,0.004,0.001,-0.001,0.001
1.496,0.001,0.0,0.0,-0.002,-0.001,-0.0004
1.589,0.0,0.0,-0.0,-0.003,-0.002,-0.001
1.685,0.0,-0.002,-0.0,0.0,0.0,-0.0004
1.789,0.0,-0.002,0.0,0.0,0.0,-0.0004
1.887,-0.002,-0.002,-0.002,-0.002,0.0,-0.0016
1.994,0.0,-0.002,0.0,0.0,-0.003,-0.001
2.103,0.0,0.003,-0.001,-0.001,-0.002,-0.0002
2.195,0.002,0.003,0.002,0.0,0.001,0.0016
2.297,0.008,0.003,0.004,0.002,0.003,0.004
2.372,0.181,0.187,0.185,0.177,0.171,0.1802
2.416,0.512,0.524,0.529,0.518,0.533,0.5232
2.443,0.953,0.956,0.929,0.965,0.959,0.9523999999999999
2.469,1.402,1.407,1.392,1.416,1.399,1.4032000000000002
2.487,1.882,1.855,1.87,1.88,1.868,1.871
2.506,2.368,2.382,2.361,2.375,2.388,2.3748
2.521,3.0,2.978,2.995,2.995,2.966,2.9868
2.537,3.511,3.489,3.497,3.511,3.504,3.5024
2.551,4.025,3.999,4.015,3.998,4.016,4.010600000000001
2.562,4.575,4.576,4.581,4.577,4.572,4.576199999999999
2.575,5.092,5.099,5.1,5.097,5.108,5.0992
2.585,5.627,5.628,5.63,5.63,5.651,5.6331999999999995
2.596,6.16,6.166,6.158,6.161,6.176,6.164200000000001
2.605,6.698,6.698,6.697,6.697,6.716,6.7012
2.615,7.239,7.239,7.244,7.241,7.261,7.244800000000001
2.623,7.784,7.796,7.794,7.79,7.818,7.7964
2.634,8.459,8.467,8.461,8.46,8.485,8.4664
2.642,9.027,9.023,9.022,9.026,9.032,9.026
2.651,9.571,9.576,9.572,9.575,9.578,9.5744
2.659,10.117,10.119,10.118,10.118,10.139,10.122200000000001
2.667,10.672,10.691,10.686,10.685,10.698,10.6864
2.675,11.251,11.25,11.249,11.25,11.247,11.2494
2.683,11.783,11.793,11.787,11.781,11.811,11.791
2.691,12.352,12.361,12.354,12.352,12.362,12.3562
2.699,12.914,12.913,12.909,12.913,12.909,12.911600000000002
2.707,13.49,13.495,13.494,13.491,13.515,13.497
2.717,14.147,14.155,14.153,14.143,14.167,14.153
