Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.014,-0.002,-0.001,-0.001,-0.001,0.001,-0.0008
0.108,0.0,0.0,0.0,0.0,0.0,0.0
0.205,-0.0,0.0,-0.0,-0.0,-0.003,-0.0006000000000000001
0.303,-0.0,0.0,-0.0,0.0,0.0,0.0
0.393,-0.0,-0.001,-0.001,0.0,-0.001,-0.0006000000000000001
0.494,0.0,-0.003,-0.007,-0.0,-0.006,-0.0032
0.584,-0.001,0.0,0.0,-0.001,0.0,-0.0004
0.675,0.001,-0.0,-0.001,0.003,-0.005,-0.0004
0.792,-0.001,-0.001,0.0,0.0,0.0,-0.0004
0.899,0.0,0.0,-0.001,0.002,0.0,0.0002
1.005,0.0,0.0,0.0,0.0,-0.002,-0.0004
1.109,0.001,-0.001,-0.002,-0.0,-0.001,-0.0006000000000000001
1.2,-0.001,0.0,-0.001,-0.001,-0.0,-0.0006000000000000001
1.301,0.002,-0.002,0.0,0.002,-0.002,0.0
1.389,0.002,0.001,0.005,-0.007,-0.0,0.0002
1.496,0.0,-0.0,-0.003,0.0,0.0,-0.0006000000000000001
1.593,0.0,0.0,0.0,0.0,0.0,0.0
1.677,0.092,0.088,0.098,0.098,0.098,0.0948
1.739,0.238,0.244,0.244,0.244,0.241,0.24219999999999997
1.784,0.585,0.624,0.615,0.617,0.597,0.6075999999999999
1.828,1.144,1.137,1.121,1.137,1.119,1.1316
1.844,1.581,1.608,1.604,1.602,1.599,1.5988000000000002
1.865,2.079,2.105,2.108,2.103,2.106,2.1002
1.884,2.57,2.564,2.559,2.59,2.59,2.5746
1.899,3.102,3.098,3.09,3.1,3.082,3.0943999999999994
1.912,3.609,3.606,3.614,3.593,3.612,3.6068
1.927,4.135,4.131,4.105,4.108,4.129,4.121599999999999
1.942,4.644,4.669,4.661,4.632,4.638,4.6488
1.956,5.174,5.183,5.179,5.18,5.179,5.179
1.97,5.71,5.717,5.68,5.708,5.708,5.704599999999999
1.983,6.35,6.34,6.34,6.34,6.34,6.3420000000000005
1.995,6.881,6.879,6.879,6.881,6.877,6.8793999999999995
2.006,7.414,7.423,7.422,7.419,7.418,7.419200000000001
2.018,7.923,7.949,7.945,7.932,7.933,7.936400000000001
2.028,8.456,8.473,8.463,8.458,8.457,8.461400000000001
2.038,9.008,9.008,9.007,9.01,9.005,9.0076
2.048,9.541,9.55,9.544,9.545,9.538,9.543600000000001
2.058,10.085,10.083,10.086,10.08,10.079,10.0826
2.067,10.615,10.623,10.613,10.612,10.614,10.6154
2.078,11.185,11.176,11.183,11.179,11.181,11.1808
2.09,11.82,11.835,11.824,11.825,11.826,11.826
2.097,12.36,12.361,12.361,12.369,12.361,12.3624
2.108,12.913,12.919,12.917,12.917,12.915,12.9162
2.117,13.448,13.442,13.443,13.441,13.441,13.443000000000001
2.127,14.017,14.018,14.015,14.014,14.02,14.016799999999998
2.136,14.552,14.549,14.549,14.549,14.549,14.549599999999998
2.146,15.098,15.102,15.102,15.099,15.101,15.100400000000002
2.155,15.649,15.656,15.651,15.651,15.659,15.653200000000002
2.165,16.198,16.215,16.204,16.207,16.208,16.2064
2.174,16.77,16.777,16.776,16.779,16.775,16.775399999999998
2.185,17.426,17.426,17.423,17.425,17.427,17.425399999999996
