Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.014,-0.002,0.002,-0.001,-0.0,-0.0,-0.0002
0.108,0.0,-0.0,0.0,0.0,0.0,0.0
0.202,0.0,0.0,-0.001,0.0,0.0,-0.0002
0.303,0.0,0.0,0.0,-0.0,-0.0,0.0
0.393,0.0,0.001,0.0,0.001,0.0,0.0004
0.493,-0.007,0.001,-0.004,-0.011,0.004,-0.0033999999999999994
0.582,0.0,-0.0,0.0,0.0,-0.0,0.0
0.679,0.001,0.001,-0.004,0.0,-0.004,-0.0012000000000000001
0.792,0.0,0.0,0.0,-0.001,0.0,-0.0002
0.894,0.0,0.0,-0.002,0.0,-0.003,-0.001
1.012,0.0,-0.002,0.0,0.0,0.0,-0.0004
1.106,-0.002,-0.002,0.002,-0.0,0.0,-0.0004
1.212,0.001,0.0,-0.004,-0.0,-0.001,-0.0008
1.296,-0.002,0.0,-0.004,-0.001,-0.0,-0.0014
1.393,0.001,-0.001,-0.0,0.006,0.006,0.0024000000000000002
1.489,0.0,0.0,-0.001,-0.002,0.0,-0.0006000000000000001
1.59,0.008,0.0,0.002,0.012,0.008,0.006
1.656,0.244,0.236,0.244,0.231,0.245,0.24
1.701,0.587,0.587,0.574,0.587,0.587,0.5843999999999999
1.727,1.003,1.012,0.996,0.999,1.005,1.003
1.755,1.541,1.555,1.537,1.564,1.534,1.5462
1.778,2.072,2.04,2.054,2.083,2.052,2.0602
1.79,2.542,2.543,2.543,2.542,2.543,2.5426
1.808,3.079,3.077,3.053,3.057,3.076,3.0684
1.823,3.573,3.584,3.574,3.57,3.583,3.5768
1.836,4.103,4.11,4.106,4.088,4.113,4.104
1.848,4.643,4.625,4.642,4.643,4.641,4.638800000000001
1.857,5.173,5.152,5.153,5.147,5.17,5.159000000000001
1.872,5.676,5.705,5.694,5.701,5.7,5.6952
1.882,6.254,6.256,6.255,6.255,6.248,6.2536000000000005
1.893,6.903,6.893,6.885,6.899,6.873,6.890599999999999
1.904,7.46,7.446,7.425,7.443,7.456,7.446000000000001
1.914,7.973,7.972,7.959,7.969,7.967,7.968000000000001
1.925,8.517,8.505,8.504,8.521,8.517,8.512799999999999
1.935,9.049,9.042,9.045,9.044,9.05,9.046000000000001
1.944,9.607,9.589,9.586,9.611,9.598,9.5982
1.953,10.147,10.137,10.141,10.146,10.139,10.142
1.96,10.704,10.703,10.698,10.704,10.704,10.7026
1.97,11.242,11.238,11.238,11.241,11.241,11.24
1.979,11.779,11.779,11.78,11.782,11.779,11.7798
1.989,12.441,12.447,12.446,12.442,12.444,12.443999999999999
1.998,12.96,12.959,12.956,12.961,12.957,12.9586
2.005,13.527,13.523,13.519,13.526,13.53,13.525
2.014,14.078,14.076,14.077,14.076,14.081,14.0776
2.023,14.654,14.656,14.652,14.653,14.655,14.654
2.03,15.205,15.199,15.199,15.201,15.201,15.200999999999999
2.039,15.769,15.768,15.771,15.77,15.767,15.769
2.048,16.316,16.318,16.317,16.319,16.317,16.3174
2.058,16.864,16.863,16.864,16.862,16.864,16.863400000000002
2.067,17.422,17.419,17.419,17.418,17.422,17.419999999999998
2.077,18.086,18.088,18.09,18.089,18.088,18.0882
