Voltage (V),Current (mA)
0.011,0.001
0.106,0.0
0.205,0.0
0.302,0.0
0.394,-0.004
0.493,0.003
0.586,0.0
0.681,0.001
0.792,0.0
0.897,0.002
1.014,0.003
1.11,-0.0
1.207,0.0
1.293,0.001
1.402,0.001
1.486,0.001
1.595,-0.002
1.679,0.001
1.779,-0.0
1.887,-0.0
1.993,0.0
2.065,0.21
2.13,0.465
2.172,0.77
2.225,1.067
2.266,1.403
2.312,1.75
2.351,2.142
2.39,2.479
2.424,2.875
2.465,3.361
2.498,3.758
2.529,4.171
2.557,4.592
2.586,5.033
2.612,5.464
2.637,5.905
2.66,6.359
2.685,6.822
2.706,7.314
2.73,7.871
2.75,8.393
2.768,8.844
2.786,9.34
2.804,9.859
2.821,10.351
2.836,10.854
2.851,11.38
2.866,11.914
2.881,12.414
2.898,13.024
