Voltage (V),Current (mA)
0.015,-0.004
0.108,0.0
0.205,-0.001
0.303,-0.0
0.4,-0.001
0.492,-0.008
0.587,-0.003
0.681,-0.002
0.792,0.0
0.899,0.0
1.012,-0.002
1.109,0.0
1.21,0.0
1.299,0.0
1.394,0.002
1.496,-0.002
1.585,-0.0
1.68,-0.002
1.789,0.0
1.875,0.0
1.952,0.356
1.979,0.756
2.0,1.239
2.026,1.702
2.045,2.205
2.061,2.729
2.068,3.252
2.087,3.774
2.097,4.303
2.109,4.83
2.12,5.488
2.129,6.026
2.138,6.589
2.145,7.129
2.154,7.71
2.161,8.259
2.167,8.83
2.174,9.379
2.179,9.954
2.185,10.515
2.191,11.196
2.196,11.774
2.202,12.34
2.208,12.906
2.212,13.482
2.217,14.08
2.222,14.652
2.227,15.238
2.233,15.814
2.238,16.389
2.245,17.064
