Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.011,0.001,-0.0,0.003,0.001,-0.0,0.001
0.108,0.0,-0.0,0.0,0.0,0.0,0.0
0.205,-0.0,-0.0,0.0,-0.001,0.0,-0.0002
0.302,0.0,-0.0,0.0,-0.0,0.0,0.0
0.401,0.0,0.001,-0.002,0.001,-0.001,-0.0002
0.489,-0.016,-0.005,0.007,-0.011,-0.004,-0.0058000000000000005
0.586,-0.001,-0.0,-0.004,-0.003,-0.002,-0.002
0.682,-0.014,-0.004,-0.012,-0.01,-0.015,-0.011
0.785,-0.001,-0.001,-0.001,0.0,0.0,-0.0006000000000000001
0.909,0.001,0.0,-0.003,0.001,0.001,0.0
1.014,0.003,0.001,-0.001,0.001,-0.002,0.0004
1.11,0.001,0.002,-0.0,0.0,0.003,0.0012000000000000001
1.2,0.0,0.0,0.0,-0.002,0.0,-0.0004
1.305,-0.003,0.0,-0.002,-0.0,-0.002,-0.0014
1.404,0.0,-0.003,0.0,0.001,0.0,-0.0004
1.496,0.029,0.008,0.003,0.0,0.001,0.008200000000000002
1.564,0.264,0.245,0.245,0.251,0.245,0.25
1.612,0.547,0.582,0.587,0.586,0.573,0.575
1.636,0.993,1.026,1.006,1.015,0.991,1.0062
1.651,1.51,1.563,1.548,1.543,1.543,1.5414
1.681,2.053,2.054,2.107,2.13,2.11,2.0907999999999998
1.691,2.587,2.576,2.594,2.593,2.577,2.5854
1.712,3.096,3.089,3.085,3.099,3.082,3.0902000000000003
1.73,3.551,3.654,3.636,3.627,3.639,3.6214
1.74,4.127,4.154,4.168,4.183,4.166,4.159599999999999
1.752,4.644,4.642,4.685,4.671,4.652,4.6588
1.764,5.176,5.223,5.174,5.202,5.193,5.193599999999999
1.775,5.715,5.727,5.759,5.738,5.764,5.7406
1.788,6.267,6.231,6.275,6.282,6.259,6.2628
1.797,6.778,6.799,6.779,6.796,6.771,6.7846
1.812,7.445,7.46,7.474,7.478,7.474,7.466200000000001
1.823,7.968,8.0,7.988,7.985,7.965,7.981199999999999
1.833,8.501,8.531,8.502,8.53,8.507,8.514199999999999
1.843,9.04,9.073,9.064,9.064,9.061,9.0604
1.852,9.582,9.612,9.613,9.613,9.611,9.606200000000001
1.862,10.118,10.147,10.16,10.149,10.153,10.145399999999999
1.872,10.664,10.69,10.695,10.693,10.697,10.6878
1.882,11.196,11.239,11.242,11.24,11.241,11.231600000000002
1.891,11.735,11.775,11.774,11.772,11.775,11.7662
1.901,12.269,12.314,12.319,12.313,12.314,12.305800000000001
1.911,12.94,12.944,12.953,12.958,12.953,12.9496
1.921,13.482,13.498,13.496,13.495,13.498,13.493799999999998
1.931,14.031,14.06,14.058,14.062,14.056,14.0534
1.94,14.567,14.585,14.588,14.583,14.586,14.581800000000001
1.949,15.121,15.135,15.137,15.149,15.144,15.137200000000002
1.957,15.689,15.685,15.68,15.687,15.682,15.6846
1.966,16.238,16.236,16.259,16.263,16.27,16.2532
1.975,16.79,16.779,16.79,16.799,16.802,16.792
1.985,17.345,17.345,17.356,17.362,17.364,17.354400000000002
1.995,17.891,17.895,17.913,17.922,17.93,17.910199999999996
2.007,18.541,18.568,18.572,18.565,18.571,18.563399999999998
