Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.015,0.001,0.003,0.0,0.001,-0.002,0.0006000000000000001
0.106,0.0,0.0,-0.0,0.0,0.0,0.0
0.204,0.0,0.003,-0.001,-0.002,0.0,0.0
0.303,-0.0,-0.0,0.0,0.0,0.0,0.0
0.398,-0.001,-0.0,0.0,-0.001,-0.001,-0.0006000000000000001
0.494,-0.012,-0.01,-0.003,0.002,-0.002,-0.005
0.583,-0.005,-0.001,0.003,-0.004,-0.003,-0.002
0.678,-0.009,-0.011,-0.008,-0.012,-0.01,-0.009999999999999998
0.787,0.0,-0.001,0.0,0.0,0.0,-0.0002
0.9,0.002,0.0,0.0,-0.0,-0.001,0.0002
1.005,-0.003,0.0,-0.001,0.001,0.0,-0.0006000000000000001
1.102,-0.0,0.0,-0.002,0.0,0.0,-0.0004
1.212,0.0,-0.0,0.0,0.0,0.0,0.0
1.304,-0.006,-0.002,0.002,-0.002,0.003,-0.001
1.394,-0.001,-0.005,0.004,-0.001,-0.006,-0.0018000000000000002
1.497,-0.005,0.001,0.001,-0.001,0.0,-0.0008
1.584,0.004,0.001,-0.004,0.0,0.001,0.0004
1.691,-0.0,-0.004,-0.002,-0.003,0.0,-0.0018000000000000002
1.782,-0.001,0.001,0.0,-0.001,-0.002,-0.0006000000000000001
1.887,-0.002,0.0,-0.0,-0.002,-0.001,-0.001
1.996,0.004,-0.007,0.003,0.002,-0.001,0.0002
2.099,-0.002,0.002,-0.002,-0.002,-0.001,-0.001
2.203,-0.004,-0.002,0.003,-0.002,-0.003,-0.0016
2.291,0.0,-0.002,-0.003,-0.004,-0.003,-0.0024000000000000002
2.392,0.015,0.017,0.027,0.011,0.021,0.0182
2.464,0.222,0.214,0.221,0.201,0.218,0.2152
2.498,0.608,0.6,0.599,0.612,0.626,0.609
2.522,1.064,1.058,1.052,1.063,1.079,1.0632
2.538,1.562,1.548,1.557,1.576,1.567,1.562
2.554,2.081,2.077,2.091,2.096,2.096,2.0881999999999996
2.571,2.692,2.7,2.722,2.713,2.717,2.7088000000000005
2.581,3.246,3.243,3.231,3.241,3.252,3.2425999999999995
2.591,3.782,3.804,3.803,3.804,3.805,3.7996000000000003
2.601,4.335,4.341,4.342,4.345,4.335,4.3396
2.611,4.883,4.887,4.891,4.892,4.897,4.890000000000001
2.619,5.417,5.42,5.43,5.432,5.432,5.4262
2.628,5.97,5.977,5.985,5.984,5.984,5.9799999999999995
2.636,6.524,6.527,6.527,6.525,6.522,6.525
2.644,7.09,7.102,7.102,7.108,7.111,7.1026
2.651,7.637,7.644,7.637,7.64,7.634,7.6384
2.66,8.306,8.308,8.319,8.318,8.318,8.313799999999999
2.668,8.877,8.884,8.891,8.886,8.889,8.885399999999999
2.674,9.432,9.427,9.442,9.446,9.435,9.4364
2.682,9.995,9.996,9.999,10.004,10.0,9.9988
2.688,10.557,10.562,10.573,10.577,10.573,10.5684
2.696,11.117,11.12,11.122,11.126,11.129,11.1228
2.703,11.683,11.687,11.7,11.704,11.707,11.6962
2.71,12.256,12.26,12.256,12.256,12.259,12.2574
2.718,12.809,12.816,12.829,12.838,12.837,12.825800000000001
2.724,13.385,13.39,13.393,13.391,13.392,13.390199999999998
2.732,14.06,14.052,14.054,14.051,14.061,14.055600000000002
