Voltage (V),Current (mA)
0.012,-0.002
0.107,0.0
0.205,-0.005
0.303,-0.004
0.397,-0.017
0.488,0.014
0.587,-0.001
0.678,-0.001
0.791,0.0
0.899,0.0
1.011,0.002
1.096,-0.001
1.206,0.003
1.3,-0.0
1.398,0.003
1.496,0.0
1.571,0.0
1.691,0.0
1.789,0.0
1.864,0.0
2.0,-0.0
2.102,-0.0
2.199,-0.005
2.297,0.0
2.386,0.045
2.444,0.325
2.477,0.749
2.493,1.217
2.516,1.662
2.529,2.195
2.544,2.81
2.559,3.358
2.568,3.909
2.581,4.433
2.59,4.986
2.6,5.523
2.61,6.071
2.619,6.61
2.628,7.171
2.636,7.722
2.644,8.37
2.653,8.965
2.659,9.497
2.667,10.051
2.675,10.614
2.682,11.196
2.688,11.735
2.698,12.302
2.704,12.871
2.712,13.448
2.721,14.109
