Voltage (V),Current (mA)
0.015,0.0
0.107,0.0
0.205,-0.001
0.302,-0.0
0.401,0.006
0.481,-0.007
0.588,0.001
0.679,-0.01
0.776,0.0
0.9,0.0
1.001,-0.003
1.093,0.0
1.212,0.0
1.302,0.002
1.403,-0.001
1.479,-0.0
1.58,-0.004
1.681,0.083
1.745,0.261
1.782,0.623
1.819,1.18
1.829,1.638
1.848,2.14
1.877,2.644
1.892,3.16
1.907,3.659
1.914,4.157
1.935,4.7
1.946,5.237
1.96,5.766
1.974,6.396
1.985,6.938
1.995,7.465
2.008,7.994
2.019,8.522
2.028,9.067
2.038,9.627
2.048,10.157
2.058,10.705
2.067,11.234
2.079,11.88
2.087,12.443
2.097,12.961
2.107,13.512
2.116,14.058
2.126,14.62
2.136,15.167
2.145,15.716
2.154,16.294
2.163,16.848
2.175,17.493
