Voltage (V),Current (mA)
0.014,-0.002
0.108,-0.0
0.205,0.0
0.303,0.001
0.395,0.002
0.489,0.009
0.587,-0.001
0.681,0.001
0.79,0.0
0.899,0.0
0.987,-0.0
1.109,0.004
1.212,-0.003
1.301,0.001
1.399,-0.003
1.496,0.0
1.593,0.0
1.689,0.018
1.765,0.151
1.808,0.458
1.846,0.954
1.881,1.43
1.903,1.864
1.912,2.316
1.93,2.819
1.952,3.391
1.961,3.86
1.98,4.403
1.993,4.96
2.005,5.471
2.019,6.11
2.032,6.634
2.043,7.159
2.054,7.697
2.067,8.232
2.077,8.756
2.087,9.301
2.097,9.825
2.107,10.361
2.116,10.901
2.127,11.571
2.136,12.121
2.147,12.662
2.156,13.214
2.166,13.739
2.176,14.315
2.185,14.851
2.194,15.402
2.204,15.973
2.214,16.522
2.224,17.175
