Voltage (V),Current (mA)
0.108,-0.0
0.2,0.002
0.3,-0.001
0.392,0.006
0.481,0.006
0.587,-0.003
0.681,-0.006
0.785,-0.002
0.876,-0.002
1.012,-0.001
1.107,-0.003
1.188,0.003
1.303,0.001
1.378,0.001
1.481,0.0
1.56,0.154
1.631,0.413
1.655,0.857
1.69,1.244
1.711,1.821
1.72,2.347
1.744,2.884
1.76,3.378
1.765,3.906
1.784,4.44
1.793,4.905
1.809,5.476
1.814,5.997
1.833,6.496
1.844,7.221
1.855,7.726
1.863,8.25
1.874,8.796
1.888,9.336
1.898,9.874
1.909,10.414
1.918,10.955
1.928,11.508
1.937,12.02
1.949,12.666
1.958,13.23
1.967,13.766
1.978,14.325
1.988,14.859
1.995,15.41
2.006,15.971
2.014,16.519
2.024,17.066
2.033,17.633
2.045,18.285
