Voltage (V),Current (mA)
0.0,0.086
0.036,0.398
0.069,0.851
0.113,1.124
0.144,1.544
0.181,1.891
0.222,2.18
0.252,2.558
0.302,2.982
0.351,3.434
0.383,3.975
0.43,4.203
0.461,4.578
0.491,4.98
0.516,5.319
0.565,5.627
0.61,6.115
0.635,6.529
0.679,6.9
0.707,7.242
0.744,7.706
0.785,8.066
0.831,8.453
0.87,8.802
0.902,9.168
0.935,9.516
0.983,9.919
1.02,10.321
1.054,10.693
1.091,11.087
1.139,11.528
1.169,11.883
1.209,12.247
1.252,12.654
1.29,13.009
1.329,13.379
1.364,13.76
1.403,14.121
1.441,14.475
1.477,14.853
1.522,15.31
1.559,15.686
1.598,16.038
1.634,16.422
1.672,16.815
1.708,17.18
1.748,17.549
1.784,17.935
1.823,18.298
1.862,18.677
1.906,19.139
