Voltage (V),Current (mA)
0.011,0.001
0.108,0.0
0.205,0.0
0.298,0.0
0.389,-0.006
0.49,0.017
0.587,0.001
0.683,0.0
0.792,-0.002
0.901,-0.006
1.01,-0.002
1.1,0.0
1.212,-0.003
1.286,0.002
1.384,0.01
1.496,0.001
1.593,0.004
1.636,0.253
1.686,0.627
1.73,0.941
1.759,1.59
1.774,2.111
1.789,2.575
1.802,3.11
1.812,3.62
1.824,4.152
1.839,4.66
1.848,5.21
1.862,5.743
1.875,6.292
1.887,6.92
1.899,7.45
1.91,7.958
1.921,8.543
1.93,9.083
1.94,9.648
1.949,10.199
1.956,10.74
1.965,11.283
1.975,11.825
1.985,12.475
1.994,13.017
2.001,13.574
2.009,14.118
2.019,14.68
2.028,15.221
2.035,15.791
2.043,16.337
2.053,16.912
2.062,17.465
2.072,18.128
