Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.011,0.003,-0.001,0.001,-0.001,-0.001,0.0002
0.107,0.0,-0.0,0.0,0.0,0.0,0.0
0.205,-0.0,-0.0,0.0,-0.001,-0.003,-0.0008
0.303,-0.0,0.0,-0.0,0.0,0.0,0.0
0.401,-0.001,0.0,0.0,-0.0,0.0,-0.0002
0.496,-0.004,-0.005,-0.01,-0.002,0.0,-0.004200000000000001
0.587,0.0,-0.002,-0.002,0.0,-0.003,-0.0014
0.677,-0.008,-0.002,0.003,-0.008,-0.001,-0.0032
0.792,-0.001,0.0,-0.001,0.0,-0.001,-0.0006000000000000001
0.896,0.0,-0.001,0.001,-0.003,0.0,-0.0006000000000000001
1.012,0.003,-0.001,-0.001,0.001,-0.001,0.0002
1.1,-0.0,0.0,0.0,0.0,0.0,0.0
1.201,-0.003,-0.003,0.0,-0.001,-0.001,-0.0016
1.304,-0.001,-0.001,0.004,-0.002,-0.001,-0.0002
1.406,-0.005,0.0,-0.004,0.0,0.004,-0.0010000000000000002
1.493,0.006,-0.004,-0.002,0.0,0.001,0.0002
1.583,0.004,-0.001,-0.002,-0.002,-0.003,-0.0008
1.684,-0.003,-0.001,-0.001,-0.001,-0.0,-0.0012000000000000001
1.784,-0.001,-0.003,-0.002,-0.001,-0.0,-0.0014
1.884,-0.001,-0.003,-0.002,0.001,0.0,-0.001
1.994,-0.005,0.004,-0.003,-0.001,-0.003,-0.0016
2.105,0.002,0.001,-0.005,-0.002,0.002,-0.0004
2.202,0.001,-0.0,-0.003,0.001,-0.003,-0.0008
2.302,-0.002,-0.005,-0.006,-0.003,-0.007,-0.0046
2.392,-0.003,0.0,0.0,0.0,0.002,-0.0002
2.497,-0.001,0.002,-0.003,0.001,0.0,-0.0002
2.595,0.0,-0.002,-0.001,-0.001,-0.001,-0.001
2.692,-0.0,-0.001,0.003,0.001,0.004,0.0014
2.79,0.0,0.001,-0.001,-0.001,0.001,0.0
2.884,-0.001,-0.003,0.001,0.0,0.001,-0.0004
3.006,-0.002,0.001,0.0,0.001,0.002,0.0004
3.099,0.001,0.0,-0.0,-0.001,0.0,0.0
3.197,-0.001,-0.001,0.001,-0.001,-0.0,-0.0004
3.299,-0.001,-0.001,0.0,-0.002,-0.001,-0.001
3.398,-0.0,-0.0,-0.001,-0.002,0.001,-0.0004
3.497,0.0,0.004,0.001,-0.001,0.003,0.0014
3.596,0.002,-0.0,0.003,-0.002,0.001,0.0008
3.692,0.003,-0.004,-0.001,-0.002,-0.002,-0.0012000000000000001
3.793,-0.001,0.002,0.002,-0.001,0.001,0.0006000000000000001
3.888,0.0,-0.0,-0.003,0.001,0.0,-0.0004
4.006,-0.002,0.0,0.0,-0.002,0.004,0.0
4.105,0.001,-0.001,0.002,0.001,0.001,0.0008
4.201,-0.0,-0.0,0.0,-0.001,-0.002,-0.0006000000000000001
4.299,0.0,0.0,0.001,-0.001,0.0,0.0
4.396,-0.001,-0.002,0.0,-0.002,-0.0,-0.001
4.494,0.0,0.001,0.003,0.001,-0.001,0.0008
4.591,0.003,-0.001,0.0,-0.001,0.0,0.0002
4.689,-0.002,0.001,0.002,0.002,-0.003,0.0
4.786,0.0,0.0,-0.0,-0.0,-0.0,0.0
4.883,-0.001,-0.001,0.001,-0.002,0.001,-0.0004
4.998,-0.001,0.001,-0.0,0.0,0.001,0.0002
