Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.014,0.0,0.003,-0.0,0.002,0.0,0.001
0.107,0.0,-0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,-0.0,0.0,0.0,0.0
0.401,-0.001,-0.001,0.001,0.001,0.001,0.0002
0.488,-0.012,-0.001,0.0,-0.005,0.001,-0.0034000000000000002
0.587,-0.002,-0.004,-0.001,-0.002,-0.004,-0.0026000000000000003
0.682,-0.015,-0.01,-0.024,-0.016,-0.019,-0.016800000000000002
0.792,0.0,0.0,0.0,-0.001,0.0,-0.0002
0.902,-0.002,0.002,0.001,-0.002,-0.003,-0.0008
1.011,0.002,-0.003,0.001,0.002,-0.003,-0.0002
1.109,0.0,-0.0,-0.002,-0.002,0.0,-0.0008
1.212,0.0,-0.002,0.0,0.0,0.0,-0.0004
1.304,0.001,0.0,0.001,-0.0,-0.0,0.0004
1.4,0.0,-0.001,-0.003,0.004,-0.003,-0.0006000000000000001
1.498,-0.001,0.003,0.006,-0.001,0.003,0.002
1.595,-0.004,-0.001,0.003,-0.001,-0.0,-0.0006000000000000001
1.691,-0.002,-0.0,-0.001,0.002,0.002,0.0002
1.789,-0.001,-0.001,-0.001,0.0,-0.001,-0.0008
1.887,-0.001,0.001,0.0,0.001,-0.002,-0.0002
1.99,0.004,0.001,0.0,-0.001,0.003,0.0014
2.105,0.002,-0.002,-0.001,0.004,0.0,0.0006000000000000001
2.201,0.003,-0.0,0.004,0.005,0.001,0.0026000000000000003
2.298,0.023,0.029,0.026,0.024,0.022,0.0248
2.369,0.189,0.187,0.18,0.179,0.176,0.1822
2.413,0.519,0.533,0.526,0.536,0.521,0.5269999999999999
2.444,0.96,0.972,0.965,0.969,0.972,0.9675999999999998
2.467,1.407,1.418,1.435,1.434,1.448,1.4284
2.486,1.869,1.899,1.896,1.889,1.913,1.8931999999999998
2.501,2.396,2.395,2.388,2.391,2.416,2.3972
2.523,3.0,3.01,3.019,3.031,3.033,3.0186
2.536,3.517,3.5,3.542,3.523,3.547,3.5257999999999994
2.55,4.046,4.056,4.058,4.06,4.06,4.055999999999999
2.562,4.585,4.586,4.604,4.601,4.611,4.5973999999999995
2.573,5.113,5.12,5.125,5.141,5.149,5.129600000000001
2.584,5.647,5.662,5.664,5.668,5.686,5.6654
2.593,6.181,6.201,6.199,6.212,6.212,6.201
2.604,6.721,6.739,6.747,6.775,6.771,6.7506
2.613,7.26,7.279,7.294,7.308,7.309,7.289999999999999
2.621,7.813,7.821,7.838,7.86,7.858,7.837999999999999
2.633,8.491,8.503,8.511,8.528,8.531,8.5128
2.64,9.04,9.039,9.062,9.06,9.066,9.0534
2.649,9.58,9.609,9.62,9.641,9.639,9.617799999999999
2.657,10.147,10.152,10.162,10.181,10.182,10.1648
2.665,10.704,10.708,10.73,10.734,10.739,10.722999999999999
2.673,11.255,11.284,11.28,11.297,11.304,11.284
2.68,11.821,11.828,11.861,11.871,11.873,11.850800000000001
2.689,12.368,12.396,12.41,12.417,12.416,12.4014
2.697,12.935,12.95,12.96,12.989,12.986,12.964000000000002
2.703,13.522,13.523,13.541,13.548,13.558,13.538400000000001
2.713,14.172,14.184,14.214,14.217,14.216,14.2006
