Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.014,-0.002,-0.0,0.002,-0.003,0.001,-0.0004
0.107,-0.0,0.0,-0.0,-0.0,0.0,0.0
0.205,-0.002,0.0,-0.0,-0.001,0.0,-0.0006000000000000001
0.303,0.0,0.0,0.0,0.0,0.0,0.0
0.398,-0.0,-0.001,0.001,0.0,-0.001,-0.0002
0.487,-0.002,-0.012,-0.0,0.002,0.005,-0.0014
0.586,-0.008,-0.002,-0.004,0.002,-0.004,-0.0032
0.68,-0.008,-0.008,-0.006,-0.009,-0.01,-0.0082
0.792,0.0,0.0,-0.001,0.0,0.0,-0.0002
0.908,0.002,0.005,-0.002,-0.001,-0.003,0.0002
1.008,0.002,-0.002,0.003,-0.001,0.003,0.001
1.11,-0.002,0.002,0.001,-0.0,0.0,0.0002
1.203,0.0,0.0,0.0,0.0,0.0,0.0
1.303,-0.001,0.0,-0.002,0.0,-0.003,-0.0012000000000000001
1.404,0.0,0.0,0.0,-0.003,0.0,-0.0006000000000000001
1.483,0.013,0.012,0.011,0.014,0.013,0.0126
1.593,0.0,-0.002,0.0,0.0,0.0,-0.0004
1.657,0.244,0.24,0.251,0.239,0.267,0.24820000000000003
1.699,0.607,0.616,0.624,0.63,0.635,0.6224000000000001
1.725,1.009,0.992,1.017,0.999,1.036,1.0105999999999997
1.751,1.657,1.662,1.661,1.624,1.652,1.6512
1.767,2.109,2.098,2.123,2.086,2.108,2.1048
1.78,2.609,2.638,2.611,2.617,2.657,2.6264000000000003
1.799,3.142,3.125,3.161,3.158,3.177,3.1525999999999996
1.811,3.694,3.687,3.673,3.713,3.668,3.687
1.824,4.168,4.207,4.216,4.21,4.228,4.205800000000001
1.836,4.728,4.728,4.735,4.733,4.722,4.7292000000000005
1.846,5.271,5.282,5.273,5.262,5.275,5.2726
1.857,5.783,5.82,5.806,5.828,5.835,5.814400000000001
1.865,6.33,6.37,6.387,6.38,6.396,6.3726
1.878,7.017,7.003,7.024,7.026,7.008,7.015600000000001
1.889,7.53,7.566,7.567,7.55,7.551,7.5528
1.899,8.079,8.099,8.107,8.11,8.105,8.1
1.907,8.639,8.637,8.642,8.642,8.648,8.6416
1.917,9.185,9.185,9.185,9.187,9.2,9.188399999999998
1.926,9.726,9.738,9.741,9.739,9.752,9.7392
1.935,10.268,10.29,10.307,10.303,10.302,10.294
1.943,10.831,10.843,10.837,10.838,10.832,10.8362
1.951,11.385,11.388,11.389,11.387,11.391,11.388
1.96,11.901,11.923,11.924,11.925,11.929,11.9204
1.969,12.563,12.584,12.595,12.592,12.593,12.585399999999998
1.977,13.131,13.14,13.135,13.135,13.129,13.134
1.984,13.685,13.709,13.715,13.712,13.723,13.7088
1.992,14.25,14.257,14.255,14.256,14.25,14.2536
1.999,14.809,14.809,14.81,14.81,14.815,14.810599999999999
2.009,15.354,15.365,15.377,15.379,15.381,15.371199999999998
2.017,15.913,15.926,15.932,15.93,15.934,15.927000000000001
2.024,16.47,16.473,16.479,16.479,16.501,16.4804
2.033,17.034,17.048,17.056,17.059,17.058,17.051
2.04,17.622,17.628,17.628,17.625,17.619,17.6244
2.05,18.271,18.282,18.281,18.284,18.282,18.279999999999998
